id.exposure,id.outcome,exposure,outcome,method,nsnp,b,se,pval,fdr,egger_intercept,egger_pval,QE,QEp,I2,correct_causal_direction,steiger_pval,lo_ci,up_ci,or,or_lci95,or_uci95
053Uc4,J10_PNEUMOBACTEROTH,thyroxine,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),7,-0.0194924333535953,0.0151068060875965,0.196943726474933,0.692385240888786,0.00736269337165686,0.574549223878672,2.26085621952411,0.894213110587006,0,TRUE,1.62466442603912e-35,-0.0491017732852846,0.0101169065780939,0.980696315742843,0.952084228027834,1.01016825549543
053Uc4,J10_PNEUMOBACTEROTH,thyroxine,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,-0.0267865596127717,0.0459183673469388,0.355175772248859,,0.00736269337165686,0.574549223878672,2.26085621952411,0.894213110587006,0,TRUE,1.62466442603912e-35,-0.116786559612772,0.0632134403872283,0.97356901829783,0.889775086836281,1.06525418323361
053Uc4,J10_PNEUMOBACTEROTH,thyroxine,"Bacterial pneumonia, not elsewhere classified",Weighted median,7,-0.0325779700683134,0.0321147232363262,0.310380119706338,,0.00736269337165686,0.574549223878672,2.26085621952411,0.894213110587006,0,TRUE,1.62466442603912e-35,-0.0955228276115128,0.030366887474886,0.967946975997152,0.908897613455231,1.03083266417684
C100003101,J10_PNEUMOBACTEROTH,METSIM_C100003101_alpha_CEHC_glucuronide,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),18,0.00604831485949566,0.0154190361193871,0.69486401914595,0.821202931717941,0.00753108385450395,0.553299488756968,16.5847441214258,0.482824858515913,0,TRUE,9.63147351158961e-111,-0.0241729959345031,0.0362696256534944,1.00606664284833,0.976116830907306,1.03693539318577
C100003101,J10_PNEUMOBACTEROTH,METSIM_C100003101_alpha_CEHC_glucuronide,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,-0.0153646153846154,0.0255102040816327,0.457513863944453,,0.00753108385450395,0.553299488756968,16.5847441214258,0.482824858515913,0,TRUE,9.63147351158961e-111,-0.0653646153846154,0.0346353846153846,0.984752818108905,0.93672585644519,1.03524217475273
C100003101,J10_PNEUMOBACTEROTH,METSIM_C100003101_alpha_CEHC_glucuronide,"Bacterial pneumonia, not elsewhere classified",Weighted median,18,-0.005330567891675,0.0205767901337833,0.795591022650474,,0.00753108385450395,0.553299488756968,16.5847441214258,0.482824858515913,0,TRUE,9.63147351158961e-111,-0.0456610765538903,0.0349999407705403,0.994683614374315,0.955365703162324,1.03561964746043
C1094,J10_PNEUMOBACTEROTH,METSIM_C1094_thyroxine,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),20,0.00340756386909812,0.0386571358728586,0.929758745012494,0.929758745012494,-0.00318781109687107,0.782844679694847,25.5702857389416,0.142614247234802,25.6950032002793,TRUE,4.68617118515859e-92,-0.0723604224417048,0.079175550179901,1.00341337621496,0.930195572026394,1.08239431991033
C1094,J10_PNEUMOBACTEROTH,METSIM_C1094_thyroxine,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,0.0940908,0.114795918367347,0.130679135079661,,-0.00318781109687107,0.782844679694847,25.5702857389416,0.142614247234802,25.6950032002793,TRUE,4.68617118515859e-92,-0.1309092,0.3190908,1.09865949967086,0.87729742938124,1.3758762487978
C1094,J10_PNEUMOBACTEROTH,METSIM_C1094_thyroxine,"Bacterial pneumonia, not elsewhere classified",Weighted median,20,0.00903897102005239,0.05118945432707,0.859839268991609,,-0.00318781109687107,0.782844679694847,25.5702857389416,0.142614247234802,25.6950032002793,TRUE,4.68617118515859e-92,-0.0912923594610048,0.10937030150111,1.00907994588242,0.91275082054928,1.11557537310051
C2029,J10_PNEUMOBACTEROTH,METSIM_C2029_azelate_C9_DC,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),10,-0.0357976529683493,0.0321804673653805,0.265964854833191,0.692385240888786,-0.0162458582645045,0.244032414359493,4.21024243308627,0.89703779729048,0,TRUE,1.59937109989864e-44,-0.0988713690044951,0.0272760630677965,0.964835505332723,0.905859222103253,1.02765146022275
