ID,name,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6,QC-1,QC-2,QC-3,QC-4
pos_1000,"3-[(1E,4R)-4-Hydroxycyclohex-2-en-1-ylidene]-2-oxopropanoate",9767.211331,9134.354598,10496.34868,9439.644809,8912.975092,8422.252189,9738.748218,7838.182047,8939.636089,9472.908958,9854.061662,12890.29374,10173.65556,11241.0095,10187.48417,11572.16211,13493.02944,11100.85921,10804.6314,9455.685234,10037.83037,9361.896075,11297.31456,9709.953051,9339.051295,9577.949827,9527.913603,9063.432053
pos_10000,Gibberellin A25,238.3748475,247.6602879,215.7684812,283.9388874,340.4976753,432.6633177,243.8317963,286.2771656,296.0047989,257.6968468,1034.793412,166.2660935,262.0722989,231.3942835,256.6646437,235.6721462,210.4067703,366.7446647,290.5859703,283.1001386,303.3722385,242.7008123,256.3320052,250.2477325,185.2901408,195.3566084,182.725622,203.7083118
pos_10001,C-6 Ceramide,2502.479914,2745.468507,1796.687607,4153.496965,3882.86458,4333.390733,1498.929894,3352.934473,2738.528992,3167.887224,2502.520303,1090.642012,1760.161469,2077.16871,1971.401126,1830.892795,2298.668187,2960.282551,2346.491876,1964.84567,2123.077818,1611.226289,1272.016287,2409.346623,1917.291509,2013.376661,1885.057793,2009.983211
pos_10004,11-beta-Hydroxyandrosterone-3-glucuronide,3525.874603,3642.59107,2936.374685,4075.646845,3067.367279,4067.85768,1325.026181,1587.247229,1950.092362,1967.803793,3291.154226,2558.135393,1913.544616,1524.509721,1722.482085,3515.23292,2956.860635,3633.851471,2526.511226,3284.651654,2216.815459,1352.606945,2049.230192,2345.228489,2235.139696,2278.924613,2236.99922,2250.844471
pos_1001,Formyl-5-hydroxykynurenamine,5057.478045,4767.606563,5417.531712,4716.134918,4440.853703,4096.141448,5089.290246,4217.293303,4681.702032,4968.371873,4803.699707,6349.971361,5447.81979,5741.906692,5180.547931,5774.433665,6686.29018,5615.222888,5787.640141,5094.892562,5171.159439,4707.505183,5738.596143,4722.342274,4898.625306,4920.21808,4946.136511,4652.846241
pos_10011,3'-DEOXY-3'-FLUOROTHYMIDINE,48.59084025,50.13785175,37.46892272,85.74653571,85.60076407,62.74927575,42.47112322,68.05060649,54.39051641,69.5615912,29.26699185,1.19E-08,46.01899549,41.65693289,48.31180807,16.4078589,37.76673807,43.19953389,56.97942375,45.78865149,72.83290096,48.20669463,6.118223644,57.32853774,70.5834721,67.29185238,75.37843355,68.43347133
pos_10014,(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate,25.16050496,31.4742681,16.03212524,46.29952245,60.161909,27.74571246,51.24578822,23.99436197,29.29263726,80.76193059,8.489324812,1.19E-08,15.72321064,20.93004881,19.7389469,12.86272644,18.15137292,18.74984731,19.96542005,19.13620734,34.98639589,36.35721903,1.19E-08,14.01452012,31.53903349,33.17567671,32.63610282,30.78544824
pos_10018,"5,8,11,14-Docosatetraynoic acid",464.0957759,261.7640078,196.3268022,23.10518557,30.22177295,2.573755076,2672.327371,71.38096024,2.689487439,1057.522202,35.98312635,91.75905464,17.80543184,8.643992397,3.276083922,468.9195766,33.51409835,84.82653859,1.682729995,27.65959287,15.46114312,1239.888531,37.35629508,19.5382729,221.1069157,243.3862459,226.6019786,229.3531865
pos_1002,2-(Hydroxymethyl)-3-(acetamidomethylene)succinate,4116.70298,3824.324057,4147.74754,3755.5589,3698.770653,3503.991412,4065.754077,3280.258641,3652.442984,4049.933738,4006.843127,5210.387141,4365.533372,4546.27142,4405.731965,4741.257309,5639.119455,4560.022652,4575.436782,4061.75913,3874.817477,3747.302666,4465.673538,3866.539373,3723.429247,3954.75819,3816.821891,3763.716539
pos_10021,"(4R,5R)-4,5-Dihydroxycyclohexa-1(6),2-diene-1-carboxylate",250.0121065,215.223796,299.8790605,275.4726975,255.9499758,240.087216,362.7200275,329.4142732,308.1643383,206.7494869,287.598731,395.0693386,297.442954,340.0917878,309.2579476,313.0126718,346.3916584,260.5060664,222.387126,321.6610327,275.5511824,358.7728414,381.2406887,326.5723166,286.9557905,290.9195411,287.8081811,281.6519117
pos_1004,Capsi-amide,35.93857489,31.29661895,6.334265915,23.77971299,29.49082995,22.29241894,14.11170135,28.74503684,21.68353715,18.19738059,12.35407991,6.185322517,36.94981676,5.040131953,20.62655704,5.033523423,1.19E-08,31.9043156,35.79749376,18.28200886,9.154245619,4.244109403,11.45587173,14.87875423,333.1671502,330.3219441,325.2007149,340.901161
pos_10041,N-Oleoyl Arginine,116.1024039,166.0770182,134.3332108,318.2028439,57.40971749,89.32000382,291.9895826,101.9188961,46.46065849,480.7322849,460.4104813,25.65968202,51.47949623,243.716727,261.0588454,220.3950915,311.564007,88.37586131,59.81275726,37.48134769,51.69126012,221.0235177,63.42022405,82.2517468,170.2031774,192.256973,170.5193938,176.9637665
pos_1005,2E-Eicosenoic acid,3013.670789,2442.321189,2549.736318,5036.413683,3052.199665,5144.764342,1875.113457,3961.142164,2105.841082,4111.312793,2868.68247,391.8942016,2348.129443,4473.231956,6239.726673,3245.042751,3036.490332,2661.520377,888.159237,959.2667208,660.4868421,1848.78986,2327.195763,1524.256726,3048.093623,2914.103693,2881.69753,3118.91857
pos_10060,Dopexamine,3840.57747,2831.633109,5651.097067,5707.76175,5046.104736,3466.327134,3773.361136,3376.999799,3574.27027,2729.847383,3612.875395,4921.503301,3706.096556,4813.244694,5075.529801,7424.567038,4418.171032,6235.208353,3237.372992,3517.321672,3525.577168,3544.9799,5857.579839,3554.013846,3736.72627,4380.500761,3593.964236,4197.885682
pos_10061,PA(14:1(9Z)/6 keto-PGF1alpha),254.2296104,248.9195879,220.4716406,247.5739183,243.8394933,254.1491248,250.8933814,231.6327768,240.5618712,289.7575207,225.6385694,172.8902002,228.9836865,201.1845404,212.9513181,216.2873134,207.180761,215.3415723,242.5785896,227.8165897,257.5771515,274.5364501,177.8705894,172.7391805,244.9461003,226.8931174,243.8181516,238.1872791
pos_1007,Sonchuionoside C,858.4187573,982.8232097,604.8513249,1630.634335,1248.688667,1765.967583,653.4159695,1620.081493,740.5147617,1474.32629,1338.423682,120.8067205,698.4818637,1625.923035,1572.768908,1130.598214,1249.837584,1172.411831,241.8949582,394.1709375,206.718691,645.3568895,860.8564775,633.1781883,954.0307549,814.4966478,965.9328905,862.1910562
