exposure,outcome,id.exposure,id.outcome,method,nsnp,b,se,pval,fdr,PRESSO_pval.x,egger_intercept,egger_pval,QE,QEp,I2,correct_causal_direction,steiger_pval,PRESSO_pval.y,lo_ci,up_ci,or,or_lci95,or_uci95,PRESSO_pval
ACE2,Bacterial pneumoniae,Q9BYF1,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),19,0.101295194246177,0.0361517256828422,0.00507953269699768,0.151905484573728,,-0.00272686291596216,0.665645487523279,14.024533391426,0.727490571886501,0,TRUE,6.5264346282555e-234,0.739,0.0304378119078064,0.172152576584548,1.10660325646777,1.03090577799173,1.18785905886628,0.739
ACE2,Bacterial pneumoniae,Q9BYF1,J10_PNEUMOBACT,Contamination mixture,,0.104760097684087,0.086734693877551,0.0502981172238908,,,-0.00272686291596216,0.665645487523279,14.024533391426,0.727490571886501,0,TRUE,6.5264346282555e-234,0.739,-0.0652399023159134,0.274760097684087,1.11044418026785,0.936842685686194,1.31621487399195,0.739
ACE2,Bacterial pneumoniae,Q9BYF1,J10_PNEUMOBACT,MR-PRESSO (Outlier-corrected),,0.101295194246177,0.0361517256828422,0.0117874560671085,,0.739,-0.00272686291596216,0.665645487523279,14.024533391426,0.727490571886501,0,TRUE,6.5264346282555e-234,0.739,0.0304378119078064,0.172152576584548,1.10660325646777,1.03090577799173,1.18785905886628,0.739
ACE2,Bacterial pneumoniae,Q9BYF1,J10_PNEUMOBACT,Weighted median,19,0.0709179895280164,0.0601778721781978,0.23860814330633,,,-0.00272686291596216,0.665645487523279,14.024533391426,0.727490571886501,0,TRUE,6.5264346282555e-234,0.739,-0.0470306399412512,0.188866618997284,1.07349318457551,0.954058164856407,1.20787983351468,0.739
ADAMTSL4,Bacterial pneumoniae,Q6UY14,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),14,-0.0622172727442922,0.0191949249265129,0.00118969310689095,0.0675074575781967,,-0.00601748503592147,0.447556921567696,5.84272730218049,0.951689809400882,0,TRUE,0,0.954,-0.0998393256002575,-0.0245952198883269,0.939678698040091,0.904982813925353,0.975704777994993,0.954
ADAMTSL4,Bacterial pneumoniae,Q6UY14,J10_PNEUMOBACT,Contamination mixture,,-0.0642442170288622,0.0306122448979592,0.0803943176530294,,,-0.00601748503592147,0.447556921567696,5.84272730218049,0.951689809400882,0,TRUE,0,0.954,-0.124244217028862,-0.00424421702886218,0.937775950706636,0.883164130823761,0.995764776931626,0.954
ADAMTSL4,Bacterial pneumoniae,Q6UY14,J10_PNEUMOBACT,MR-PRESSO (Outlier-corrected),,-0.0622172727442922,0.0191949249265129,0.00643460306436733,,0.954,-0.00601748503592147,0.447556921567696,5.84272730218049,0.951689809400882,0,TRUE,0,0.954,-0.0998393256002575,-0.0245952198883269,0.939678698040091,0.904982813925353,0.975704777994993,0.954
ADAMTSL4,Bacterial pneumoniae,Q6UY14,J10_PNEUMOBACT,Weighted median,14,-0.0491361508860908,0.0385872439164831,0.202883908984234,,,-0.00601748503592147,0.447556921567696,5.84272730218049,0.951689809400882,0,TRUE,0,0.954,-0.124767148962398,0.0264948471902161,0.952051498218898,0.882702416830217,1.0268489560907,0.954
ADD1,Bacterial pneumoniae,P35611,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),5,0.0999261565012446,0.0463847985806183,0.0312176921356289,0.406380898212629,,0.00715631052842693,0.66834903363679,3.04884875337917,0.549684220833105,0,TRUE,1.58831844653079e-140,0.606,0.00901195128323276,0.190840361719256,1.10508931140143,1.00905268117619,1.21026623183854,0.606
ADD1,Bacterial pneumoniae,P35611,J10_PNEUMOBACT,Contamination mixture,,0.0988386335088977,0.130102040816327,0.142594582871595,,,0.00715631052842693,0.66834903363679,3.04884875337917,0.549684220833105,0,TRUE,1.58831844653079e-140,0.606,-0.156161366491102,0.353838633508898,1.10388815462788,0.855421142924954,1.42452529728347,0.606
ADD1,Bacterial pneumoniae,P35611,J10_PNEUMOBACT,MR-PRESSO (Outlier-corrected),,0.0999261565012446,0.0463847985806183,0.0975116059141099,,0.606,0.00715631052842693,0.66834903363679,3.04884875337917,0.549684220833105,0,TRUE,1.58831844653079e-140,0.606,0.00901195128323276,0.190840361719256,1.10508931140143,1.00905268117619,1.21026623183854,0.606
ADD1,Bacterial pneumoniae,P35611,J10_PNEUMOBACT,Weighted median,5,0.0660632298834153,0.0613695480419025,0.281711629772971,,,0.00715631052842693,0.66834903363679,3.04884875337917,0.549684220833105,0,TRUE,1.58831844653079e-140,0.606,-0.0542210842787135,0.186347544045544,1.06829426315222,0.947222667310612,1.20484092291017,0.606
ADGRE2,Bacterial pneumoniae,Q9UHX3,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),30,0.0537112236340694,0.0253696728421548,0.0342477187066584,0.414122771207857,,-0.000304547345589233,0.944950364399828,32.4828546771952,0.299083884725763,10.7221323735453,TRUE,0,0.298,0.00398666486344602,0.103435782404693,1.05517984715251,1.00399462218269,1.10897457539788,0.298
ADGRE2,Bacterial pneumoniae,Q9UHX3,J10_PNEUMOBACT,Contamination mixture,,0.071910917930145,0.0306122448979592,0.0166479320537729,,,-0.000304547345589233,0.944950364399828,32.4828546771952,0.299083884725763,10.7221323735453,TRUE,0,0.298,0.011910917930145,0.131910917930145,1.07455961580528,1.01198213538733,1.14100667150379,0.298
ADGRE2,Bacterial pneumoniae,Q9UHX3,J10_PNEUMOBACT,MR-PRESSO (Outlier-corrected),,0.0537112236340694,0.0253696728421548,0.0429457465141082,,0.298,-0.000304547345589233,0.944950364399828,32.4828546771952,0.299083884725763,10.7221323735453,TRUE,0,0.298,0.00398666486344602,0.103435782404693,1.05517984715251,1.00399462218269,1.10897457539788,0.298
ADGRE2,Bacterial pneumoniae,Q9UHX3,J10_PNEUMOBACT,Weighted median,30,0.0526628557039022,0.0352464754911811,0.135141352960322,,,-0.000304547345589233,0.944950364399828,32.4828546771952,0.299083884725763,10.7221323735453,TRUE,0,0.298,-0.0164202362588128,0.121745947666617,1.05407421009868,0.983713840957649,1.12946712157015,0.298
AGR3,Bacterial pneumoniae,Q8TD06,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),8,-0.178325805911423,0.0843132068534437,0.0344265373684145,0.414122771207857,,-0.00212209675998097,0.938063711274516,11.4118045561052,0.121637742214473,38.660008015515,TRUE,1.83268164832864e-70,0.152,-0.343579691344173,-0.0130719204786736,0.836669787115357,0.709226959642578,0.987013146009618,0.152
AGR3,Bacterial pneumoniae,Q8TD06,J10_PNEUMOBACT,Contamination mixture,,-0.250696976886057,0.193877551020408,0.187367952685104,,,-0.00212209675998097,0.938063711274516,11.4118045561052,0.121637742214473,38.660008015515,TRUE,1.83268164832864e-70,0.152,-0.630696976886057,0.129303023113943,0.77825816604449,0.532220726162208,1.1380349228082,0.152
AGR3,Bacterial pneumoniae,Q8TD06,J10_PNEUMOBACT,MR-PRESSO (Outlier-corrected),,-0.178325805911423,0.0843132068534437,0.0722487271402713,,0.152,-0.00212209675998097,0.938063711274516,11.4118045561052,0.121637742214473,38.660008015515,TRUE,1.83268164832864e-70,0.152,-0.343579691344173,-0.0130719204786736,0.836669787115357,0.709226959642578,0.987013146009618,0.152
AGR3,Bacterial pneumoniae,Q8TD06,J10_PNEUMOBACT,Weighted median,8,-0.112314376652374,0.096221746589152,0.243111341891535,,,-0.00212209675998097,0.938063711274516,11.4118045561052,0.121637742214473,38.660008015515,TRUE,1.83268164832864e-70,0.152,-0.300908999967111,0.0762802466623641,0.893763235035376,0.740145122912755,1.07926499219135,0.152
AHSA1,Bacterial pneumoniae,O95433,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),4,0.268919033106662,0.114054829861544,0.0183833533202342,0.324698957420564,,0.0228346087534534,0.344081424284859,2.98167736129492,0.394458802370509,0,TRUE,1.42344850857843e-22,0.426,0.0453715665780355,0.492466499635289,1.30854918759466,1.0464166011183,1.63634729659748,0.426
AHSA1,Bacterial pneumoniae,O95433,J10_PNEUMOBACT,Contamination mixture,,0.394355134369366,0.183673469387755,0.0357827084696213,,,0.0228346087534534,0.344081424284859,2.98167736129492,0.394458802370509,0,TRUE,1.42344850857843e-22,0.426,0.0343551343693656,0.754355134369366,1.48342727114903,1.03495208852883,2.12623994209888,0.426
AHSA1,Bacterial pneumoniae,O95433,J10_PNEUMOBACT,MR-PRESSO (Outlier-corrected),,0.268919033106662,0.114054829861544,0.0995979244106055,,0.426,0.0228346087534534,0.344081424284859,2.98167736129492,0.394458802370509,0,TRUE,1.42344850857843e-22,0.426,0.0453715665780355,0.492466499635289,1.30854918759466,1.0464166011183,1.63634729659748,0.426
AHSA1,Bacterial pneumoniae,O95433,J10_PNEUMOBACT,Weighted median,4,0.327595354309644,0.139044082552207,0.0184702369738279,,,0.0228346087534534,0.344081424284859,2.98167736129492,0.394458802370509,0,TRUE,1.42344850857843e-22,0.426,0.0550689525073178,0.60012175611197,1.38762736123878,1.05661346831165,1.82234066799779,0.426
ALDH1A1,Bacterial pneumoniae,P00352,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),6,-0.162456594389719,0.0689707073973603,0.0185006174942946,0.324698957420564,,0.0206946403035782,0.307789601680843,4.06792329480781,0.539678725659007,0,TRUE,4.4728747442244e-62,0.599,-0.297639180888546,-0.0272740078908932,0.850052986493289,0.742569224583692,0.973094569400271,0.599
ALDH1A1,Bacterial pneumoniae,P00352,J10_PNEUMOBACT,Contamination mixture,,-0.230849671090719,0.086734693877551,0.0297783044054924,,,0.0206946403035782,0.307789601680843,4.06792329480781,0.539678725659007,0,TRUE,4.4728747442244e-62,0.599,-0.400849671090719,-0.0608496710907186,0.793858796992647,0.669750736368227,0.940964683338734,0.599
ALDH1A1,Bacterial pneumoniae,P00352,J10_PNEUMOBACT,MR-PRESSO (Outlier-corrected),,-0.162456594389719,0.0689707073973603,0.0651183715394149,,0.599,0.0206946403035782,0.307789601680843,4.06792329480781,0.539678725659007,0,TRUE,4.4728747442244e-62,0.599,-0.297639180888546,-0.0272740078908932,0.850052986493289,0.742569224583692,0.973094569400271,0.599
ALDH1A1,Bacterial pneumoniae,P00352,J10_PNEUMOBACT,Weighted median,6,-0.223866542414547,0.0934488289253676,0.0165929316164578,,,0.0206946403035782,0.307789601680843,4.06792329480781,0.539678725659007,0,TRUE,4.4728747442244e-62,0.599,-0.407026247108268,-0.0407068377208268,0.799421816155802,0.665626719295673,0.960110556893018,0.599
ANG,Bacterial pneumoniae,P03950,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),25,0.0634408314159113,0.0266383037245942,0.0172392838946196,0.315293679824736,,0.00391082265950917,0.3187813882613,23.398711467407,0.496374945343238,0,TRUE,0,0.402,0.0112297561157067,0.115651906716116,1.06549644002061,1.01129304651697,1.12260503284055,0.402
ANG,Bacterial pneumoniae,P03950,J10_PNEUMOBACT,Contamination mixture,,0.146737560935475,0.0459183673469388,0.00998969245237805,,,0.00391082265950917,0.3187813882613,23.398711467407,0.496374945343238,0,TRUE,0,0.402,0.0567375609354753,0.236737560935475,1.15805000558631,1.05837801420885,1.26710853535721,0.402
ANG,Bacterial pneumoniae,P03950,J10_PNEUMOBACT,MR-PRESSO (Outlier-corrected),,0.0634408314159113,0.0266383037245942,0.0255177288047071,,0.402,0.00391082265950917,0.3187813882613,23.398711467407,0.496374945343238,0,TRUE,0,0.402,0.0112297561157067,0.115651906716116,1.06549644002061,1.01129304651697,1.12260503284055,0.402
ANG,Bacterial pneumoniae,P03950,J10_PNEUMOBACT,Weighted median,25,0.0208119305058749,0.0387313426479063,0.591032230107619,,,0.00391082265950917,0.3187813882613,23.398711467407,0.496374945343238,0,TRUE,0,0.402,-0.0551015010840215,0.0967253620957713,1.02103000898214,0.946389083560359,1.10155780254789,0.402
