id.exposure,id.outcome,exposure,outcome,I2,H2,QE,QEp
053Uc4,J10_PNEUMOBACTEROTH,thyroxine,"Bacterial pneumonia, not elsewhere classified",0,0.376809369920684,2.26085621952411,0.894213110587006
C100003101,J10_PNEUMOBACTEROTH,METSIM_C100003101_alpha_CEHC_glucuronide,"Bacterial pneumonia, not elsewhere classified",0,0.97557318361328,16.5847441214258,0.482824858515913
C1094,J10_PNEUMOBACTEROTH,METSIM_C1094_thyroxine,"Bacterial pneumonia, not elsewhere classified",25.6950032002793,1.34580451257587,25.5702857389416,0.142614247234802
C2029,J10_PNEUMOBACTEROTH,METSIM_C2029_azelate_C9_DC,"Bacterial pneumonia, not elsewhere classified",0,0.467804714787364,4.21024243308627,0.89703779729048
C376,J10_PNEUMOBACTEROTH,METSIM_C376_isoleucine,"Bacterial pneumonia, not elsewhere classified",22.9250520957436,1.29743843776867,28.5436456309107,0.158356732529454
C504,J10_PNEUMOBACTEROTH,METSIM_C504_serotonin,"Bacterial pneumonia, not elsewhere classified",31.2384865237851,1.45430190443075,26.1774342797535,0.0957695899400119
GCST90200293,J10_PNEUMOBACTEROTH,Thyroxine levels,"Bacterial pneumonia, not elsewhere classified",0,0.908750491760472,18.1750098352094,0.575880604631986
GCST90200399,J10_PNEUMOBACTEROTH,Isoleucine levels,"Bacterial pneumonia, not elsewhere classified",0,0.903503967508059,18.9735833176692,0.58683476418253
GCST90200422,J10_PNEUMOBACTEROTH,Serotonin levels,"Bacterial pneumonia, not elsewhere classified",0,0.861561926525623,20.677486236615,0.657670351771837
GCST90243423,J10_PNEUMOBACTEROTH,Isoleucine levels,"Bacterial pneumonia, not elsewhere classified",0,0.942045232440279,16.0147689514847,0.522788173472703
GCST90243460,J10_PNEUMOBACTEROTH,Serotonin 5HT levels,"Bacterial pneumonia, not elsewhere classified",31.6018224563901,1.46202725849298,21.9304088773947,0.109641690915957
o9MEwk,J10_PNEUMOBACTEROTH,isoleucine,"Bacterial pneumonia, not elsewhere classified",22.6639847018049,1.29305860425335,12.9305860425335,0.227578772140111
Qg2eCT,J10_PNEUMOBACTEROTH,serotonin,"Bacterial pneumonia, not elsewhere classified",0,0.524483435377673,3.67138404764371,0.816753399954956
